Month,"Monthly milk production: pounds per cow. Jan 62 to Dec 74, adjusted for month length",Initial state,,,,,,,,,,,
,,Initial state,578.2784,Here this col gives fitted values,,,i.e thhis is forecasted value for next month,,,,Only in excel,,PE
1962-01,578.3,,578.2999978,0.0216,<-these are residuals,,,,,,,,0.003735086
1962-02,609.8,,609.79685,31.50000216,,,,,,,,,5.165628429
1962-03,628.4,,628.3981397,18.60315,,,,,,,,,2.960399427
1962-04,665.6,,665.5962798,37.20186032,,,,,,,,,5.589221802
1962-05,713.8,,713.7951796,48.20372019,,,,,,,,,6.753112943
1962-06,707.2,,707.2006595,-6.595179628,,,,,,,,,-0.932576305
1962-07,628.4,,628.4078801,-78.80065952,,,,,,,,,-12.53988853
1962-08,588.1,,588.1040308,-40.30788007,,,,,,,,,-6.853916012
1962-09,576.3,,576.3011804,-11.80403079,,,,,,,,,-2.048244107
1962-10,566.5,,566.5009801,-9.801180403,,,,,,,,,-1.730128933
1962-11,561.1,,561.1005401,-5.400980118,,,,,,,,,-0.962569973
1962-12,571.4,,571.3989701,10.2994599,,,,,,,,,1.802495608
1963-01,589.1,,589.0982299,17.70102995,,,,,,,,,3.004758096
1963-02,615.3,,615.2973798,26.2017701,,,,,,,,,4.258373168
1963-03,641.2,,641.1974097,25.90262018,,,,,,,,,4.039709947
1963-04,682.8,,682.7958397,41.60259026,,,,,,,,,6.092939406
1963-05,728.5,,728.4954296,45.70416026,,,,,,,,,6.273735108
1963-06,726.4,,726.4002095,-2.095429584,,,,,,,,,-0.288467729
1963-07,648,,648.00784,-78.40020954,,,,,,,,,-12.09879777
1963-08,605.8,,605.8042208,-42.20784002,,,,,,,,,-6.967289538
1963-09,591.5,,591.5014304,-14.30422078,,,,,,,,,-2.418295991
1963-10,576.3,,576.3015201,-15.20143042,,,,,,,,,-2.637763391
1963-11,573.2,,573.2003102,-3.101520143,,,,,,,,,-0.54108865
1963-12,587.1,,587.09861,13.89968985,,,,,,,,,2.367516581
1964-01,616.6,,616.5970499,29.50138997,,,,,,,,,4.78452643
1964-02,648.6,,648.5967997,32.00295014,,,,,,,,,4.934158208
1964-03,675.5,,675.4973097,26.9032003,,,,,,,,,3.982709148
1964-04,715.3,,715.2960197,39.80269032,,,,,,,,,5.56447509
1964-05,756,,755.9959296,40.70398027,,,,,,,,,5.384124374
1964-06,746.7,,746.7009296,-9.295929602,,,,,,,,,-1.244934994
1964-07,665.7,,665.7081001,-81.00092959,,,,,,,,,-12.16778272
1964-08,627.4,,627.4038308,-38.30810009,,,,,,,,,-6.105849553
1964-09,612.8,,612.8014604,-14.60383081,,,,,,,,,-2.38313166
1964-10,599.9,,599.9012901,-12.90146038,,,,,,,,,-2.150601831
1964-11,602.7,,602.6997201,2.798709854,,,,,,,,,0.464362013
1964-12,622.5,,622.49802,19.80027987,,,,,,,,,3.180767851
1965-01,646.1,,646.0976398,561.1,,,,,,,,,86.84414177
1965-02,676.1,,676.0969998,,,,,,,,,,
1965-03,696.1,,696.0979997,,,,,,,,,,
1965-04,732.5,,732.4963598,,,,,,,,,,
1965-05,767.8,,767.7964696,,,,,,,,,,
1965-06,767,,767.0000796,,,,,,,,,,
1965-07,689.3,,689.30777,,,,,,,,,,
1965-08,641.2,,641.2048108,,,,,,,,,,
1965-09,624,,624.0017205,,,,,,,,,,
1965-10,609.7,,609.7014302,,,,,,,,,,
1965-11,610.8,,610.7998901,,,,,,,,,,
1965-12,623.5,,623.49873,,,,,,,,,,
1966-01,664.7,,664.6958799,,,,,,,,,,
1966-02,690.3,,690.2974396,,,,,,,,,,
1966-03,722.6,,722.5967697,,,,,,,,,,
1966-04,766,,765.9956597,,,,,,,,,,
1966-05,796.3,,796.2969696,,,,,,,,,,
1966-06,809.6,,809.5986697,,,,,,,,,,
1966-07,721.7,,721.7087899,,,,,,,,,,
1966-08,684.4,,684.4037309,,,,,,,,,,
1966-09,670.6,,670.6013804,,,,,,,,,,
1966-10,654.9,,654.9015701,,,,,,,,,,
1966-11,654.4,,654.4000502,,,,,,,,,,
1966-12,675.5,,675.49789,,,,,,,,,,
1967-01,700.1,,700.0975398,948.6,,,,,,,,,
1967-02,725.1,,725.0974998,,,,,,,,,,
1967-03,748.2,,748.1976897,,,,,,,,,,
1967-04,795.4,,795.3952798,,,,,,,,,,
1967-05,821.8,,821.7973595,,,,,,,,,,
1967-06,828.9,,828.8992897,,,,,,,,,,
1967-07,753.1,,753.1075799,,,,,,,,,,
1967-08,708.9,,708.9044208,,,,,,,,,,
1967-09,690.9,,690.9018004,,,,,,,,,,
1967-10,674.5,,674.5016402,,,,,,,,,,
1967-11,669.6,,669.6004902,,,,,,,,,,
1967-12,685.3,,685.29843,,,,,,,,,,
1968-01,704,,703.9981298,,,,,,,,,,
1968-02,730.5,,730.4973498,,,,,,,,,,
1968-03,760.9,,760.8969597,,,,,,,,,,
1968-04,807.6,,807.5953297,,,,,,,,,,
1968-05,842.4,,842.3965195,,,,,,,,,,
1968-06,838,,838.0004397,,,,,,,,,,
1968-07,768.8,,768.80692,,,,,,,,,,
1968-08,726.6,,726.6042207,,,,,,,,,,
1968-09,711.2,,711.2015404,,,,,,,,,,
1968-10,693.2,,693.2018002,,,,,,,,,,
1968-11,686.9,,686.9006302,,,,,,,,,,
1968-12,698.1,,698.0988801,,,,,,,,,,
1969-01,720.7,,720.6977399,,,,,,,,,,
1969-02,750.1,,750.0970598,,,,,,,,,,
1969-03,770.8,,770.7979297,,,,,,,,,,
1969-04,816.7,,816.6954098,,,,,,,,,,
1969-05,855.2,,855.1961495,,,,,,,,,,
1969-06,857.3,,857.2997896,,,,,,,,,,
1969-07,786.5,,786.50708,,,,,,,,,,
1969-08,750.1,,750.1036407,,,,,,,,,,
1969-09,735.6,,735.6014504,,,,,,,,,,
1969-10,709.9,,709.9025701,,,,,,,,,,
1969-11,700.1,,700.1009803,,,,,,,,,,
1969-12,720.7,,720.6979401,,,,,,,,,,
1970-01,736.4,,736.3984298,,,,,,,,,,
1970-02,768.5,,768.4967898,,,,,,,,,,
1970-03,792.4,,792.3976097,,,,,,,,,,
1970-04,836,,835.9956398,,,,,,,,,,
1970-05,869.9,,869.8966096,,,,,,,,,,
1970-06,871.5,,871.4998397,,,,,,,,,,
1970-07,804.1,,804.10674,,,,,,,,,,
1970-08,768.8,,768.8035307,,,,,,,,,,
1970-09,750.8,,750.8018004,,,,,,,,,,
1970-10,733.4,,733.4017402,,,,,,,,,,
1970-11,721.4,,721.4012002,,,,,,,,,,
1970-12,737.4,,737.3984001,,,,,,,,,,
1971-01,789.4,,789.3947998,,,,,,,,,,
1971-02,821.8,,821.7967595,,,,,,,,,,
1971-03,844.4,,844.3977397,,,,,,,,,,
1971-04,890.8,,890.7953598,,,,,,,,,,
1971-05,924.9,,924.8965895,,,,,,,,,,
1971-06,926.3,,926.2998597,,,,,,,,,,
1971-07,853.2,,853.20731,,,,,,,,,,
1971-08,818.9,,818.9034307,,,,,,,,,,
1971-09,801.5,,801.5017403,,,,,,,,,,
1971-10,785.5,,785.5016002,,,,,,,,,,
1971-11,774.1,,774.1011402,,,,,,,,,,
1971-12,785.5,,785.4988601,,,,,,,,,,
1972-01,811,,So above is forecasted value for jan 72,,,,,,,,,,
1972-02,838.6,,,,,,,,,,,,
1972-03,873.9,,,,,,,,,,,,
1972-04,913.1,,,,,,,,,,,,
1972-05,943.6,,,,,,,,,,,,
1972-06,948.6,,,,,,,,,,,,
1972-07,877.8,,,,,,,,,,,,
1972-08,839.5,,,,,,,,,,,,
1972-09,820.8,,,,,,,,,,,,
1972-10,795.3,,,,,,,,,,,,
1972-11,777.2,,,,,,,,,,,,
1972-12,790.4,,,,,,,,,,,,
1973-01,806.1,,,,,,,,,,,,
1973-02,840.3,,,,,,,,,,,,
1973-03,867,,,,,,,,,,,,
1973-04,911.1,,,,,,,,,,,,
1973-05,939.6,,,,,,,,,,,,
1973-06,937.5,,,,,,,,,,,,
1973-07,865,,,,,,,,,,,,
1973-08,821.8,,,,,,,,,,,,
1973-09,795.4,,,,,,,,,,,,
1973-10,776.6,,,,,,,,,,,,
1973-11,771.1,,,,,,,,,,,,
1973-12,787.4,,,,,,,,,,,,
1974-01,813,,,,,,,,,,,,
1974-02,845.7,,,,,,,,,,,,
1974-03,872.9,,,,,,,,,,,,
1974-04,915.2,,,,,,,,,,,,
1974-05,951.4,,,,,,,,,,,,
1974-06,960.8,,,,,,,,,,,,
1974-07,891.5,,,,,,,,,,,,
1974-08,851.3,,,,,,,,,,,,
1974-09,826.9,,,,,,,,,,,,
1974-10,797.3,,,,,,,,,,,,
1974-11,784.3,,,,,,,,,,,,
1974-12,798.2,,,,,,,,,,,,
